/*********************************************
 * OPL  Data
 * Author: Micha³ Lutoborski
 * Creation Date: 26-05-2016 at 19:41:49
 *********************************************/

/*************** PARAMETRY ZEWNÊTRZNE ***************/

// Miary wektorów
nbMachines = 5;
nbMonths = 3;
nbProducts = 4;

// Rozk³ad
distrColNb = 4;
distrRowNb = 1000;

// Liczba maszyn
maxMachines = [4 2 3 1 1];

// Koszty wykorzystania maszyn w produkcji
prodCost = [[ 0.4   0.6    0         0]
			[ 0.2   0.1    0       0.6]
			[ 0.1   0      0.7       0]
			[ 0.06  0.04   0      0.05]
			[ 0     0.05   0.02      0]];
			
// Zapotrzebowanie w miesi¹cach
monthMax = [[ 400     0   200   300]
			[ 700   400   500     0]
			[   0   800   600   400]];

// Magazyny - limit i koszt/sztuka
storageMax = [200 200 200 200];
storageCost = 1;

// Liczba godzin w miesi¹cu - 24 dni robocze po 2 zmiany po 8 godzin = 24 * 16 = 384
nbHours = 384;

/***************************** MPO *****************************/
asAvgProfit = 15000;       	// step of 15
utAvgProfit = 19347;
ndAvgProfit = -200;

asMaxRisk = 500;         	// step of 5
utMaxRisk = 0;
ndMaxRisk = 4752.5;

beta = 0.0001;
epsilon = 0.00005;

/************************* SCENARIUSZE *************************/

// MI-vector
mi = [9 8 7 6];

// Macierz kowariancji
covariance = [[ 16  -2  -1  -3]
			  [ -2   9  -4  -1]
			  [ -1  -4   4   1]
			  [ -3  -1   1   1]];

// Scenariusze
sellProfitR = [[9.78349426540595 8.29021531540575 7.77138599204705 5.51665469176755]
[9.05057529566419 8.16149982521778 6.70144267681211 5.67981065775364]
[8.77519487563952 8.4049050440212 5.70601582274826 6.4546260996298]
[10.8207636866707 7.0144164272591 6.69877962778024 5.65867877559841]
[11.5007773226927 6.48232383284708 7.81218389518503 6.29786106058742]
[8.19522141562358 10.3150336369812 6.96674261939434 6.56050301425416]
[7.39748210227128 9.18839485133028 6.67259381295924 5.966053594006]
[6.77135994234776 7.57730801219369 11.0766749421894 6.94553406337216]
[8.90782825110763 6.92306568062927 8.03863681983491 5.65893220841906]
[8.76636106200789 10.1136098654709 5.58527633162861 5.57487897103441]
[10.7736668911751 6.81472453455269 9.49663606616084 6.09419786459229]
[10.0931527789984 5.87399481202837 6.61043289619699 5.37476818162822]
[10.3968970477937 6.59321827749856 6.10031865976813 5.45991629607134]
[11.7328091986533 6.90734154429663 7.41112154410774 5.27770769787436]
[8.22637352979508 10.159887328797 6.04120383746655 5.46947838116187]
[9.14586676531598 8.99337217618168 7.69286758368223 5.52122745562938]
[8.20977516348279 7.95881110317866 7.76323822288888 5.89614719148926]
[10.4384592023363 7.21755614131269 9.27141759189069 5.51693469126144]
[9.62531495666546 6.51357921405291 10.8340633788405 7.79265772333564]
[5.90247397244545 8.03316855325387 6.12263377355277 5.77464779634488]
[7.76441280367687 7.45477537541149 9.09662815943355 6.03931105102911]
[11.3663536540071 7.50542328296547 7.91597691857894 5.19405001432066]
[8.87518408492532 6.47828894247793 7.20046936632618 5.64549501213937]
[9.73063265331917 5.93790030232966 7.62841337098807 7.21063302155405]
[5.6239562404746 7.79377631746476 8.57316719407296 7.60023203405474]
[5.88946621727262 9.34487005005515 6.46377623521185 6.84352994504969]
[10.6405622115406 5.90489427389195 7.54492067439062 5.59721638638958]
[8.67609954608545 6.08364119427982 9.56062481516249 5.89628492061903]
[8.41513618839314 6.88251645298002 5.15493210970999 5.09750859522124]
[6.91063300512896 9.05368442885576 6.62911299447379 6.3651933797608]
[5.07053900958017 7.92475619302298 8.32887734830897 7.7230660920277]
[9.87455544460018 6.72542781424103 10.7623829446288 6.4292160349508]
[10.799332563989 6.00750727016449 7.22477279012678 5.30987349963328]
[5.05470488395314 6.27010434807712 9.54621598638306 7.47864154347793]
[7.27058790913658 11.8528255912542 5.36305457528966 5.59399519298282]
[5.20929200747121 5.02742853580989 6.69021099922716 7.35295924094257]
[8.25554823706239 7.11081747095234 9.35798332284223 6.57874726211466]
[6.5070329449275 9.48904168685218 6.94327464136981 6.44710343027193]
[11.9991294689796 8.32673193374124 7.02679736145305 6.0186396811622]
[10.9097498878128 9.90660465685663 6.10485731496158 5.33583772265832]
[11.4347567606361 6.01412975057163 8.21406035400305 5.49168356245009]
[5.05851693865395 6.02221422470367 10.0544506508101 6.49502862792385]
[7.24222879554689 6.723953996069 9.0394408113615 6.51856035130116]
[5.59904121131384 5.51522428165346 9.50965352609273 7.7029897928216]
[10.250340391598 8.77489378043673 7.02209259640727 5.67593514882262]
[7.49982709159647 8.8513652513336 6.02873023979891 6.01211893563134]
[10.0865814854741 9.01010062875605 7.45583339314792 5.20493704878897]
[5.45520321047074 7.01529643748773 7.58510141051037 6.69015415164973]
[10.7378223529962 7.74007537836671 6.10846450634056 6.0577320356647]
[7.80427765103141 9.92647796428424 8.86969816529869 6.04380805729425]
[7.0140548843983 6.49880093017308 7.03174044713087 6.18862430336507]
[9.48714924498503 6.98314714855052 10.3115644726552 6.24856232351493]
[8.89684951218465 10.3092200936975 6.05705370542553 5.06291564551029]
[7.32513710372495 8.69962071167197 9.1068549928606 5.36862850304737]
[5.73760366434642 9.39433485651047 5.69646495629924 6.21204005732353]
[7.00975919313715 8.7486325030228 5.47574421002115 6.02673942617593]
[10.0504282835841 6.86951672694714 8.55263994708595 5.87983293183796]
[10.8623117950983 7.82366981701155 6.92315251764757 5.24736059361479]
